method,mode,nulls,rmse,test_size,time,test_size_p
SVD,A,0.1,1.9164030720493168,64,0.003529787063598633,0.1
classic,A,0.1,24266178537.277256,129,0.011160612106323242,0.2
word2vec,A,0.1,2.1890751216925244,129,0.03714585304260254,0.2
SVD,A,0.1,2.035564573425025,129,0.016208887100219727,0.2
classic,A,0.1,53557174165.277885,194,0.007604122161865234,0.3
word2vec,A,0.1,2.5185434872028285,194,0.06513476371765137,0.3
SVD,A,0.1,2.446284289141433,194,0.0024459362030029297,0.3
classic,A,0.1,92633666768.24828,259,0.02173924446105957,0.4
word2vec,A,0.1,2.568539945854473,259,0.005089998245239258,0.4
SVD,A,0.1,2.5209805676869657,259,0.0027272701263427734,0.4
classic,A,0.1,73820524705.36037,324,0.010807037353515625,0.5
word2vec,A,0.1,2.6001422075844407,324,0.003365039825439453,0.5
SVD,A,0.1,2.5774711792245117,324,0.0024726390838623047,0.5
classic,A,0.1,1.5065706625855102,389,0.015290498733520508,0.6
word2vec,A,0.1,2.515199825573134,389,0.002738475799560547,0.6
SVD,A,0.1,2.482512202417187,389,0.0026128292083740234,0.6
classic,A,0.1,1.4779820585980643,454,0.02932429313659668,0.7
word2vec,A,0.1,3.0862611326430707,454,0.008516311645507812,0.7
SVD,A,0.1,2.7741020334460904,454,0.0024340152740478516,0.7
classic,A,0.1,1.686809981925497,519,0.0058171749114990234,0.8
word2vec,A,0.1,3.079474666433626,519,0.012112140655517578,0.8
SVD,A,0.1,2.705976993434227,519,0.0024254322052001953,0.8
classic,A,0.1,3.8392429688505247,584,0.00950312614440918,0.9
word2vec,A,0.1,2.8466055876669873,584,0.04733109474182129,0.9
SVD,A,0.1,3.6869333393682227,584,0.002317667007446289,0.9
