method,mode,nulls,rmse,test_size,time,test_size_p
classic,C,0.3,1.4199454912065288,324,0.029537677764892578,0.5
word2vec,C,0.3,2.444630145656741,324,0.00852656364440918,0.5
SVD,C,0.3,2.5241793907587806,324,0.002572774887084961,0.5
classic,C,0.3,1.4725328891571416,389,0.02214503288269043,0.6
word2vec,C,0.3,2.7209841985376317,389,0.005217552185058594,0.6
SVD,C,0.3,2.598128058365619,389,0.0047991275787353516,0.6
classic,C,0.3,98184971727400.83,454,0.02221202850341797,0.7
word2vec,C,0.3,3.2337311872311973,454,0.0026586055755615234,0.7
SVD,C,0.3,3.0036566872492814,454,0.0025272369384765625,0.7
classic,C,0.3,17296309637247.975,519,0.013800382614135742,0.8
word2vec,C,0.3,3.288481300244297,519,0.07137608528137207,0.8
SVD,C,0.3,2.9765896731019637,519,0.0025260448455810547,0.8
classic,C,0.3,3.7976801290258084,584,0.0055081844329833984,0.9
word2vec,C,0.3,3.165837110628182,584,0.03194737434387207,0.9
SVD,C,0.3,3.0355561597765113,584,0.04873371124267578,0.9
classic,C,0.4,1.1720500607816489,64,0.007634878158569336,0.1
word2vec,C,0.4,2.1009830394129994,64,0.012053728103637695,0.1
SVD,C,0.4,2.16018588630284,64,0.0044362545013427734,0.1
classic,C,0.4,1.0743393970508226,129,0.00815582275390625,0.2
word2vec,C,0.4,2.1182783313913554,129,0.00969839096069336,0.2
SVD,C,0.4,2.1467128074449926,129,0.0012021064758300781,0.2
classic,C,0.4,1.3847046877654392,194,0.007955551147460938,0.3
word2vec,C,0.4,2.5149230203410404,194,0.004099845886230469,0.3
SVD,C,0.4,2.5570415033085587,194,0.0024666786193847656,0.3
classic,C,0.4,1.3659154163849379,259,0.008074045181274414,0.4
word2vec,C,0.4,2.5279110540267125,259,0.004106760025024414,0.4
SVD,C,0.4,2.5380052090865863,259,0.002392292022705078,0.4
classic,C,0.4,1.3999312489681695,324,0.007912635803222656,0.5
word2vec,C,0.4,2.5728285581053822,324,0.007866859436035156,0.5
SVD,C,0.4,2.5982171207833447,324,0.0024416446685791016,0.5
classic,C,0.4,1.5220557004169954,389,0.06042981147766113,0.6
word2vec,C,0.4,2.709472039303898,389,0.0048122406005859375,0.6
SVD,C,0.4,2.6133543950881855,389,0.002791166305541992,0.6
classic,C,0.4,62137864417816.97,454,0.013120651245117188,0.7
word2vec,C,0.4,3.132527640466229,454,0.0025179386138916016,0.7
SVD,C,0.4,2.9536387342093007,454,0.0024645328521728516,0.7
classic,C,0.4,22613159759945.66,519,0.006719350814819336,0.8
word2vec,C,0.4,3.245306788232777,519,0.09987568855285645,0.8
SVD,C,0.4,2.8914399428550674,519,0.0024619102478027344,0.8
classic,C,0.4,5.162065981009917,584,0.006001710891723633,0.9
word2vec,C,0.4,3.4663859287873757,584,0.02281475067138672,0.9
SVD,C,0.4,3.4037720148430495,584,0.0036268234252929688,0.9
classic,C,0.5,1.2073432108279631,64,0.010948896408081055,0.1
word2vec,C,0.5,2.1810099884880123,64,0.04517412185668945,0.1
SVD,C,0.5,2.1664211316982893,64,0.024638891220092773,0.1
classic,C,0.5,1.0719064236597602,129,0.008021116256713867,0.2
word2vec,C,0.5,2.12074400432342,129,0.009598970413208008,0.2
SVD,C,0.5,2.1278481539388934,129,0.001218557357788086,0.2
classic,C,0.5,1.433107898547087,194,0.007626771926879883,0.3
word2vec,C,0.5,2.528307950160978,194,0.027462005615234375,0.3
SVD,C,0.5,2.538882139278134,194,0.0024356842041015625,0.3
classic,C,0.5,1.3618364801814606,259,0.026788949966430664,0.4
word2vec,C,0.5,2.5132281367596434,259,0.008361101150512695,0.4
SVD,C,0.5,2.588725679521049,259,0.002537965774536133,0.4
classic,C,0.5,1.491010914243833,324,0.011695623397827148,0.5
word2vec,C,0.5,2.635837181097445,324,0.0498807430267334,0.5
SVD,C,0.5,2.6553173355062043,324,0.0024726390838623047,0.5
classic,C,0.5,1.631374694043887,389,0.007691383361816406,0.6
word2vec,C,0.5,2.8487676927596777,389,0.028548479080200195,0.6
SVD,C,0.5,2.7327026260497673,389,0.0024628639221191406,0.6
classic,C,0.5,32999329585346.145,454,0.016552209854125977,0.7
word2vec,C,0.5,3.1486268475393877,454,0.002757549285888672,0.7
SVD,C,0.5,3.0054965718268014,454,0.0026035308837890625,0.7
classic,C,0.5,22687528463043.016,519,0.007128000259399414,0.8
word2vec,C,0.5,3.254328898295615,519,0.021836519241333008,0.8
SVD,C,0.5,3.0892475419657566,519,0.007848739624023438,0.8
classic,C,0.5,3.750067415353012,584,0.008169889450073242,0.9
word2vec,C,0.5,3.7540476314055318,584,0.010964155197143555,0.9
SVD,C,0.5,3.32550879950837,584,0.002369403839111328,0.9
classic,C,0.6,1.178376207424765,64,0.008002996444702148,0.1
word2vec,C,0.6,2.3925380652997577,64,0.01873159408569336,0.1
SVD,C,0.6,2.3024024829289256,64,0.01882481575012207,0.1
classic,C,0.6,1.0573126183911359,129,0.00808095932006836,0.2
word2vec,C,0.6,2.2854708467678617,129,0.02926325798034668,0.2
